MongoDB_Location,AppSheet_Location
Kalighat Mandir Shaktipeeth,Kalighat Mandir Shaktipeeth
"The Basilica of the Holy Rosary, Bandel (Bandel Church)","(Bandel Church) The Basilica of the Holy Rosary, Bandel"
Science City - Kolkata,Science City - Kolkata
Kolkata Centre for Creativity,Kolkata Centre for Creativity
Jorasanko Thakurbari,Jorasanko Thakurbari
Marble Palace,Marble Palace
Metcalfe Hall,Metcalfe Hall
Indian Museum,Indian Museum
"Nandan, West Bengal Film Centre & Academy of Fine Arts & Rabindra Sadan","Nandan, West Bengal Film Centre & Academy of Fine Arts & Rabindra Sadan"
Nehru Children's Museum,Nehru Children's Museum
M.P. Birla Planetarium,M.P. Birla Planetarium
Netaji Bhawan,Netaji Bhawan
Birla Industrial & Technological Museum,Birla Industrial & Technological Museum
Sarat Chandra Chattopadhyay Kuthi,Sarat Chandra Chattopadhyay Kuthi
"Indian Botanic Garden, Acharya Jagadish Chandra Bose ","Indian Botanic Garden, Acharya Jagadish Chandra Bose"
"Zoological Garden, Alipore","Zoological Garden, Alipore"
Rabindra Sarobar Lake,Rabindra Sarobar Lake
Subhash Sarobar Lake,Subhas Sarobar Lake
Eco Park,Eco Park
Nicco park,Nicco park
Nalban Park,Nalban Park
East Calcutta Wetlands,East Calcutta Wetlands
Kolkata River Cruise,Kolkata River Cruise
Manali Bus Stand (HRTC Bus Stand),Manali Bus Stand (HRTC Bus Stand)
Private Volvo Bus Stand,Private Volvo Bus Stand
Shri Vashishtha Temple,Shri Vashishtha Temple
Hadimba Devi Temple,Hadimba Devi Temple
Shri Anjani Mahadev Mandir,Shri Anjani Mahadev Mandir
"Manu Temple, Old Manali","Manu Temple, Old Manali"
"Buddhist Monastery, Gadhan Thekchhokling Gompa ","Buddhist Monastery, Gadhan Thekchhokling Gompa"
Himalayan Nyinmapa Buddhist Monastery,Himalayan Nyinmapa Buddhist Monastery
Mall Road Market,Mall Road Market
Rohtang La,Rohtang La
Solang Valley,Solang Valley
Hampta Pass Trek,Hampta Pass Trek
Jogini Falls,Jogini Falls
Nehru Kund,Nehru Kund
Bhrigu Lake,Bhrigu Lake
Manali wildlife sanctuary,Manali wildlife sanctuary
Van Vihar National Park,Van Vihar National Park
Naggar Castle,Naggar Castle
"Prem Mandir, Vrindavan","Prem Mandir, Vrindavan"
Sri Sri Krishna Balaram Mandir (ISKCON Vrindavan),Sri Sri Krishna Balaram Mandir (ISKCON Vrindavan)
Shri Krishna Janmasthan,Shri Krishna Janmasthan
"Shri Dwarkadhish Temple, Mathura","Shri Dwarkadhish Temple, Mathura"
Birla Gita Temple,Birla Gita Temple
"Shri Banke Bihari Temple, Vrindavan","Shri Banke Bihari Temple, Vrindavan"
"Shri Radha Raman Temple, Vrindavan","Shri Radha Raman Temple, Vrindavan"
"Shri Radha Rani Temple, Barsana","Shri Radha Rani Temple, Barsana"
Rangnath Mandir (Shri Rangji Mandir),Rangnath Mandir (Shri Rangji Mandir)
Vrindavan Chandrodaya Mandir,Vrindavan Chandrodaya Mandir
"Shri Pagal Baba Temple, Vrindavan","Shri Pagal Baba Temple, Vrindavan"
"Maa Vaishno Devi Dham, Vrindavan","Maa Vaishno Devi Dham, Vrindavan"
Gokul Dham,Gokul Dham
"Shri Nand Baba Temple, Nandgaon","Shri Nand Baba Temple, Nandgaon"
Shri Shani Mandir Kokilavan,Shri Shani Mandir Kokilavan
Mathura Chaurasi Digamber Jain Temple,Mathura Chaurasi Digamber Jain Temple
Shri Raman Bihariji Mandir,Shri Raman Bihariji Mandir
"Government Museum, Mathura","Government Museum, Mathura"
"Kans Quila, Mathura","Kans Quila, Mathura"
Yamuna river,Yamuna river
Vishram Ghat,Vishram Ghat
Keshi Ghat,Keshi Ghat
Nidhivan,Nidhivan
Seva Kunj,Seva Kunj
Govardhan hill,Govardhan hill
"Potra Kund, Mathura","Potra Kund, Mathura"
Radha Kund & Shyam Kund,Radha Kund & Shyam Kund
"Kusum Sarovar, Govardhan","Kusum Sarovar, Govardhan"
Mathura Junction,Mathura Junction
Mathura Cantt,Mathura Cantt
New Bus Stand,New Bus Stand
"Bus Stand, Govardhan","Bus Stand, Govardhan"
Vrindavan Bus Stand,Vrindavan Bus Stand
